name,slug,description,assets,facets,optionGroups,optionValues,sku,price,taxCategory,stockOnHand,trackInventory,variantAssets,variantFacets
DAP Fertilizer,dap-fertilizer,"Di-Ammonium Phosphate (DAP) is the world's most widely used phosphorus fertilizer. Contains 18% Nitrogen and 46% P2O5. Ideal for basal application at sowing time for wheat, cotton, rice, and all major crops. Improves root development and early plant growth.",,category:fertilizers,pack size,25 KG,DAP-25KG,9500,standard,500,false,,
,,,,,,50 KG,DAP-50KG,18800,standard,250,false,,
Urea Fertilizer,urea-fertilizer,"Granular urea containing 46% nitrogen — the highest nitrogen content of any solid fertilizer. Fast-acting and suitable for top-dressing on all crops. Widely used across Pakistan for wheat, cotton, sugarcane, and vegetables. Store in dry conditions to prevent caking.",,category:fertilizers,pack size,25 KG,UREA-25KG,4800,standard,800,false,,
,,,,,,50 KG,UREA-50KG,9400,standard,400,false,,
SOP Fertilizer,sop-fertilizer,"Sulphate of Potash (SOP) provides 50% K2O and 17% sulphur. Chloride-free formula ideal for sensitive crops including cotton, potatoes, and fruits. Improves crop quality, shelf life, and disease resistance. Recommended for soils with high chloride content.",,category:fertilizers,pack size,25 KG,SOP-25KG,12500,standard,300,false,,
,,,,,,50 KG,SOP-50KG,24500,standard,150,false,,
NPK 20-20-20 Fertilizer,npk-20-20-20,"Balanced water-soluble NPK fertilizer with equal parts nitrogen, phosphorus, and potassium. Perfect for foliar spray and fertigation systems. Promotes balanced vegetative and reproductive growth. Suitable for all crops throughout the growing season.",,category:fertilizers,pack size,5 KG,NPK202020-5KG,4200,standard,200,false,,
,,,,,,25 KG,NPK202020-25KG,19500,standard,100,false,,
,,,,,,50 KG,NPK202020-50KG,38000,standard,50,false,,
Calcium Nitrate Fertilizer,calcium-nitrate,"Water-soluble calcium nitrate providing 15.5% nitrogen and 26.5% calcium. Strengthens cell walls, prevents blossom end rot, and improves fruit quality. Essential for high-value crops and fertigation systems. Compatible with most pesticides and fertilizers.",,category:fertilizers,pack size,25 KG,CAN-25KG,7500,standard,200,false,,
,,,,,,50 KG,CAN-50KG,14500,standard,100,false,,
Wheat Seed Akbar-19,wheat-seed-akbar-19,"Akbar-19 is a high-yielding, short-duration wheat variety approved by the Punjab Seed Council. Resistant to yellow and brown rust. Average yield: 45-55 maunds per acre under optimal management. Suitable for irrigated conditions in all wheat-growing zones of Pakistan.",,category:seeds,pack size,10 KG,WSAK19-10KG,2800,standard,300,false,,
,,,,,,25 KG,WSAK19-25KG,6500,standard,150,false,,
,,,,,,50 KG,WSAK19-50KG,12500,standard,75,false,,
Wheat Seed Galaxy-13,wheat-seed-galaxy-13,"Galaxy-13 is a popular semi-dwarf wheat variety with strong straw and excellent lodging resistance. Registered yield: 50-60 maunds per acre. Tolerant to terminal heat stress, making it ideal for late-sown conditions. Disease-resistant with broad adaptability across Punjab and Sindh.",,category:seeds,pack size,10 KG,WSGL13-10KG,3200,standard,300,false,,
,,,,,,25 KG,WSGL13-25KG,7500,standard,150,false,,
,,,,,,50 KG,WSGL13-50KG,14500,standard,75,false,,
Cotton Seed IUB-2013,cotton-seed-iub-2013,"IUB-2013 is a non-Bt cotton variety bred by the Institute of Biotechnology, Bahawalpur. Produces medium-staple length fibre with high ginning outturn (38-40%). Suitable for sandy loam soils of Punjab and Sindh. Kharif season crop with 160-180 day maturity.",,category:seeds,pack size,900 G,CSI2013-900G,3500,standard,400,false,,
,,,,,,1.8 KG,CSI2013-1.8KG,6800,standard,200,false,,
Super Basmati Rice Seed,super-basmati-rice-seed,"Super Basmati is Pakistan's premium aromatic rice variety with extra-long slender grains. Registered by the Rice Research Institute, Kala Shah Kaku. Average yield: 25-35 maunds per acre. Fetches premium export prices. Requires 130-140 days to mature under Punjab conditions.",,category:seeds,pack size,5 KG,SBR-5KG,2200,standard,300,false,,
,,,,,,10 KG,SBR-10KG,4200,standard,150,false,,
,,,,,,25 KG,SBR-25KG,9800,standard,75,false,,
Sugarcane Variety SP-79,sugarcane-sp79,"SP-79 is a high-yielding sugarcane variety with good sucrose content (10-12%). Widely cultivated in Punjab and Sindh. Average cane yield: 800-1000 maunds per acre. Tolerant to red rot and smut diseases. Excellent ratoon crop performance with good regrowth.",,category:seeds,pack size,100 Cuttings,SCS79-100,2500,standard,200,false,,
,,,,,,500 Cuttings,SCS79-500,11500,standard,80,false,,
Glyphosate 41% SL Herbicide,glyphosate-41-sl,"Systemic non-selective herbicide for control of annual and perennial grasses and broadleaf weeds. Absorbed through foliage and translocated to roots for complete kill. Suitable for pre-planting weed control in all crops, orchards, and roadsides. Apply when weeds are actively growing.",,category:herbicides,pack size,1 L,GLY41-1L,4500,standard,300,false,,
,,,,,,5 L,GLY41-5L,21000,standard,100,false,,
2,4-D Amine 720 Herbicide,2-4-d-amine-720,"Selective post-emergence herbicide for control of broadleaf weeds in wheat and corn. Controls bindweed, wild mustard, and other common wheat field weeds. Apply at 3-4 leaf stage of crop for best results.",,category:herbicides,pack size,1 L,24DA-1L,2800,standard,300,false,,
,,,,,,5 L,24DA-5L,13000,standard,100,false,,
,,,,,,20 L,24DA-20L,50000,standard,30,false,,
Sulfosulfuron Herbicide,sulfosulfuron-herbicide,"Post-emergence selective herbicide for control of grassy and broadleaf weeds in wheat. Controls phalaris minor, wild oat, and broadleaf weeds with a single application. Rain-fast within 4 hours of application.",,category:herbicides,pack size,13.5 G,SULFS-13G,1800,standard,400,false,,
,,,,,,27 G,SULFS-27G,3400,standard,200,false,,
Atrazine 80% WP Herbicide,atrazine-80-wp,"Pre and post-emergence herbicide for control of annual grasses and broadleaf weeds in corn, sorghum, and sugarcane. Provides season-long weed control with a single application. Do not apply to sandy soils with low organic matter.",,category:herbicides,pack size,500 G,ATR80-500G,2200,standard,300,false,,
,,,,,,1 KG,ATR80-1KG,4200,standard,150,false,,
Lambda-Cyhalothrin 2.5 EC,lambda-cyhalothrin-2-5-ec,"Broad-spectrum pyrethroid insecticide for control of sucking and chewing insects. Effective against whitefly, thrips, aphids, armyworm, and bollworms in cotton, wheat, and vegetables. Fast knockdown with long residual activity.",,category:pesticides,pack size,250 ML,LAMCY-250ML,1800,standard,400,false,,
,,,,,,500 ML,LAMCY-500ML,3400,standard,200,false,,
,,,,,,1 L,LAMCY-1L,6500,standard,100,false,,
Imidacloprid 200 SL,imidacloprid-200-sl,"Systemic neonicotinoid insecticide for control of sucking pests including whitefly, aphids, thrips, and leafhoppers. Absorbed by plant roots and leaves, protecting new growth. Suitable for seed treatment, soil application, and foliar spray.",,category:pesticides,pack size,100 ML,IMD200-100ML,2200,standard,400,false,,
,,,,,,250 ML,IMD200-250ML,5200,standard,200,false,,
,,,,,,500 ML,IMD200-500ML,9800,standard,100,false,,
Chlorpyrifos 40 EC,chlorpyrifos-40-ec,"Organophosphate insecticide with contact, stomach, and fumigant action. Controls termites, cutworms, borers, and a wide range of soil insects. Widely used in cotton, wheat, and vegetables. Provides 10-14 days residual control.",,category:pesticides,pack size,500 ML,CHL40-500ML,1800,standard,400,false,,
,,,,,,1 L,CHL40-1L,3400,standard,200,false,,
,,,,,,5 L,CHL40-5L,15500,standard,60,false,,
Emamectin Benzoate 1.9 EC,emamectin-benzoate-1-9-ec,"Highly effective insecticide for control of diamondback moth, bollworm, and leaf miners in vegetables and cotton. Translaminar activity ensures control of larvae inside leaves. Minimal impact on beneficial insects.",,category:pesticides,pack size,100 G,EMAM-100G,3500,standard,300,false,,
,,,,,,250 G,EMAM-250G,8200,standard,150,false,,
,,,,,,500 G,EMAM-500G,15500,standard,75,false,,
Carbendazim 50 WP Fungicide,carbendazim-50-wp,"Systemic benzimidazole fungicide for control of powdery mildew, loose smut, and sheath blight in wheat and rice. Also controls die-back, fruit rot, and leaf spot in vegetables. Apply as foliar spray or seed treatment.",,category:pesticides,pack size,100 G,CARB50-100G,1200,standard,400,false,,
,,,,,,250 G,CARB50-250G,2800,standard,200,false,,
,,,,,,500 G,CARB50-500G,5200,standard,100,false,,
Mancozeb 80 WP Fungicide,mancozeb-80-wp,"Broad-spectrum protectant fungicide controlling early blight, late blight, downy mildew, and leaf spots. Multi-site mode of action reduces resistance risk. Suitable for potato, tomato, onion, and field crops.",,category:pesticides,pack size,250 G,MAN80-250G,850,standard,500,false,,
,,,,,,500 G,MAN80-500G,1600,standard,300,false,,
,,,,,,1 KG,MAN80-1KG,3000,standard,150,false,,
Propiconazole 25 EC Fungicide,propiconazole-25-ec,"Systemic triazole fungicide for control of rust, powdery mildew, and leaf spots. Highly effective against brown rust and yellow rust in wheat. Curative and protective action. Apply at first sign of disease for best results.",,category:pesticides,pack size,250 ML,PROP25-250ML,4200,standard,300,false,,
,,,,,,500 ML,PROP25-500ML,8000,standard,150,false,,
Zinc Sulphate 33%,zinc-sulphate-33,"Granular zinc sulphate for correction of zinc deficiency — the most common micronutrient deficiency in Pakistan soils. Contains 33% zinc oxide. Apply 5-10kg per acre as soil application or dissolve for foliar spray. Improves grain filling and overall plant vigour.",,category:fertilizers,pack size,1 KG,ZNSO4-1KG,1800,standard,500,false,,
,,,,,,5 KG,ZNSO4-5KG,8500,standard,200,false,,
,,,,,,25 KG,ZNSO4-25KG,38000,standard,60,false,,
